Baseline,Fine-tuned
0.7,0.0
0.5,0.0
0.8,0.0
1.0,0.0
1.0,1.0
1.0,1.0
1.0,0.0
0.5,1.0
1.0,1.0
1.0,1.0
1.0,0.0
1.0,0.8
1.0,1.0
1.0,1.0
0.9,0.8
1.0,0.7
1.0,0.5
1.0,0.8
1.0,0.9
0.5,0.0
0.5,0.0
1.0,1.0
0.0,0.0
1.0,0.0
1.0,1.0
0.5,0.7
1.0,1.0
0.5,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9,0.7
1.0,0.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.0
0.5,0.7
0.5,1.0
1.0,1.0
1.0,0.9
0.0,0.0
1.0,1.0
1.0,1.0
1.0,0.0
1.0,1.0
0.9,1.0
1.0,1.0
0.8,1.0
0.0,1.0
1.0,0.9
0.0,1.0
0.9,1.0
0.0,0.0
0.0,0.0
1.0,0.2
0.5,0.0
1.0,1.0
0.9,0.5
0.0,0.0
1.0,0.0
0.9,0.7
0.5,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,1.0
1.0,0.5
0.5,0.0
1.0,1.0
1.0,0.0
0.8,1.0
1.0,1.0
1.0,0.0
1.0,0.8
1.0,0.0
1.0,1.0
1.0,0.0
1.0,1.0
0.0,0.0
0.5,1.0
1.0,1.0
0.9,0.0
0.0,1.0
0.9,0.1
1.0,1.0
1.0,1.0
0.5,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.95,0.5
1.0,1.0
1.0,1.0
0.7,0.7
1.0,1.0
0.5,0.0
0.8,1.0
1.0,1.0
1.0,0.0
1.0,0.8
0.8,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.7,0.5
0.0,0.0
1.0,0.0
0.9,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.5,0.0
0.0,1.0
0.0,0.0
1.0,1.0
1.0,1.0
0.0,0.0
0.0,0.5
1.0,1.0
1.0,1.0
0.5,0.0
1.0,1.0
0.8,0.5
1.0,0.75
0.7,0.8
1.0,0.9
1.0,1.0
0.7,1.0
1.0,1.0
0.5,0.0
0.7,0.8
1.0,1.0
1.0,1.0
1.0,1.0
0.33,0.0
1.0,0.5
0.8,1.0
1.0,1.0
0.0,0.0
1.0,1.0
